city,cityID,TGNID,latitude,longitude,birth,death,bir_sour
Kyoto ,3271300435,7004603,35,135.75,1.0,1.0,0.0
Saint Petersburg ,3510540053,7010273,59.8833,30.25,0.0,1.0,0.0
Kangn_ng ,3544300012,1082264,37.8,127.8667,1.0,0.0,1.0
Seoul ,3544540030,7002223,37.5333,127,0.0,1.0,0.0
Vienna ,4002630021,7003321,48.2167,16.3667,3.0,2.0,1.0
Antwerp ,4031000019,7007856,51.213886,4.401514,4.0,3.0,1.0
Brest ,4151030468,7008258,48.3833,-4.5,1.0,0.0,1.0
Fontainebleau ,4151150107,7008005,48.4,2.7,1.0,0.0,1.0
Lorraine ,4151330002,7002888,49,6,1.0,0.0,1.0
Lun¨¦ville ,4151330578,7009313,48.5833,6.5,1.0,0.0,1.0
Lyon ,4151330592,7008772,45.7667,4.8333,2.0,0.0,1.0
Meudon ,4151360284,7009340,48.8167,2.25,0.0,1.0,0.0
Paris ,4151450026,7008038,48.8667,2.3333,9.0,12.0,0.0
Saint-Denis ,4151540116,7009706,48.95,2.3833,0.0,1.0,0.0
Versailles ,4151630142,7008070,48.8,2.1333,1.0,1.0,0.0
Ansbach ,4180000188,7004459,49.3,10.583333,1.0,0.0,1.0
Benediktbeuern ,4180030241,5001774,47.7,11.4,1.0,0.0,1.0
Berlin ,4180030287,7003712,52.516667,13.4,2.0,1.0,1.0
Cologne ,4180060061,7004446,50.933333,6.95,2.0,1.0,1.0
Darmstadt ,4180090037,7004428,49.870556,8.649444,1.0,0.0,1.0
Dresden ,4180090203,7004455,51.05,13.75,0.0,4.0,0.0
Frankfurt am Main ,4180150093,7005293,50.116667,8.683333,2.0,1.0,1.0
Lubeck ,4180330314,7012327,53.866667,10.7,1.0,0.0,1.0
L¨¹tzen ,4180330357,7012328,51.25,12.133333,0.0,1.0,0.0
Meissen ,4180360132,7012844,51.1667,13.4167,0.0,1.0,0.0
Munich ,4180360300,7004333,48.15,11.583333,0.0,1.0,0.0
Nuremberg ,4180390285,7004334,49.447778,11.068333,6.0,5.0,1.0
Weimar ,4180660161,1041715,51.366667,9.4,1.0,0.0,1.0
Republic of Ireland ,4240000000,1000078,53,-8,1.0,0.0,1.0
Dublin ,4240090025,7001306,53.3333,-6.25,0.0,1.0,0.0
Bologna ,4243030226,7004847,44.483333,11.333333,3.0,2.0,1.0
Cremona ,4243060945,7005868,45.116667,10.033333,2.0,1.0,1.0
Ferrara ,4243150055,7004264,44.833333,11.583333,1.0,0.0,1.0
Florence ,4243150091,7000457,43.766667,11.25,2.0,1.0,1.0
Mantua ,4243360075,7005879,45.15,10.8,0.0,1.0,0.0
Naples ,4243390002,7004474,40.833333,14.25,0.0,1.0,0.0
Palermo ,4243450044,7003928,38.116667,13.366667,0.0,1.0,0.0
Parma ,4243450082,7004942,44.8,10.333333,1.0,0.0,1.0
Rome ,4243510165,7000874,41.9,12.483333,2.0,3.0,0.0
Sacile ,4243540007,7005537,45.955278,12.501944,1.0,0.0,1.0
Turin ,4243570114,7005688,45.05,7.666667,1.0,1.0,0.0
Udine ,4243600003,7005139,46.061944,13.242222,1.0,0.0,1.0
Venice ,4243630105,7018159,45.438611,12.326667,3.0,4.0,0.0
Netherlands ,4390000000,7016845,52.5,5.75,0.0,1.0,0.0
Amersfoort ,4390000025,7006922,52.15,5.383333,1.0,0.0,1.0
Amsterdam ,4390000029,7006952,52.35,4.916667,1.0,4.0,0.0
Delft ,4390090010,7006804,52,4.366667,1.0,0.0,1.0
Dordrecht ,4390090040,7006798,51.8,4.666667,1.0,0.0,1.0
Groningen ,4390180033,7006984,53.216667,6.55,1.0,2.0,0.0
Hoorn ,4390210067,7007056,52.65,5.066667,0.0,1.0,0.0
Kampen ,4390300002,7006948,52.55,5.916667,0.0,1.0,0.0
Utrecht ,4390600014,7006926,52.083333,5.133333,1.0,1.0,0.0
Uitdam ,4390600015,7029488,52.416667,5.066667,0.0,1.0,0.0
Zwolle ,4390750033,7007077,52.5,6.083333,1.0,0.0,1.0
Gda¨½sk ,4450180004,7007660,54.3667,18.6833,1.0,0.0,1.0
_bidos ,4451420000,4000244,39.35,-9.15,0.0,1.0,0.0
Aranjuez ,4540000130,7007284,40.033333,-3.6,0.0,1.0,0.0
Granada ,4540180026,7007703,37.183333,-3.6,0.0,1.0,0.0
Madrid ,4540360003,7010413,40.4,-3.683333,1.0,1.0,0.0
Segovia ,4540540122,7008661,40.95,-4.116667,0.0,1.0,0.0
Seville ,4540540133,7008676,37.377222,-5.986944,3.0,1.0,1.0
Zurich ,4542750015,7007302,47.3833,8.55,3.0,3.0,0.0
Stockholm ,4546540138,7009861,59.3333,18.0833,2.0,1.0,1.0
Barrow ,4601030124,4001236,52.242149,0.58862,1.0,0.0,1.0
Hampton Court ,4601210606,1100405,51.4,-.3167,0.0,1.0,0.0
London ,4601330462,7011781,51.5,-.1667,4.0,7.0,0.0
Yorkshire ,4601720032,7008171,53.93063,-1.207885,1.0,0.0,1.0
